keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F10800#F13022,         72,         70,       143,            0,         400, 10
F10800#F10597,        143,         70,       214,            0,         400, 10
F10800#F10147,         83,         71,       155,            0,         400, 10
F10800#F10765,         82,         71,       154,            0,         400, 10
F10800#F11799,         84,         69,       154,            0,         400, 10
F10800#F10348,         80,        131,       213,            0,         400, 10
F10800#F12069,         78,         72,       151,            0,         400, 10
F10800#F11904,         74,         68,       144,            0,         400, 10
F10800#F11445,         83,        112,       196,            0,         400, 10
F10800#F11057,         81,         68,       150,            0,         400, 10
F10800#F1006 ,         82,         66,       149,            0,         400, 10
F10800#F12019,         85,         66,       151,            0,         400, 10
F10800#F11318,        143,         68,       212,            0,         400, 10
F10800#F11696,         79,         76,       156,            1,         400, 10
F10800#F10610,        100,         82,       183,            0,         400, 10
F10800#F10536,         78,         68,       147,            0,         400, 10
F10800#F10036,         82,         92,       176,            0,         400, 10
F10800#F10015,        101,         78,       181,            0,         400, 10
F10800#F10063,         89,        105,       195,            0,         400, 10
F10800#F10224,        175,         78,       253,            0,         400, 10
F10800#F11707,         82,         63,       146,            0,         400, 10
F10800#F10024,         81,         66,       150,            0,         400, 10
F10800#F10171,         76,         65,       142,            0,         400, 10
F10800#F11401,         77,         68,       146,            0,         400, 10
F10800#F10111,         81,         69,       151,            0,         400, 10
F10800#F1304 ,         77,         67,       145,            0,         400, 10
F10800#F10308,         79,         67,       146,            0,         400, 10
F10800#F10751,         79,         67,       147,            0,         400, 10
F10800#F13266,         77,         67,       145,            0,         400, 10
F10800#F10364,         74,         66,       142,            0,         400, 10
F10800#F12073,         76,         66,       143,            0,         400, 10
F10800#F10683,        147,         67,       214,            0,         400, 10
F10800#F10280,         82,         67,       150,            0,         400, 10
F10800#F10585,         80,         67,       148,            0,         400, 10
F10800#F12593,         82,         67,       150,            0,         400, 10
F10800#F10388,         72,         68,       141,            0,         400, 10
F10800#F12736,        100,         40,       141,            0,         400, 10
F10800#F10887,         91,         44,       137,            0,         400, 10
F10800#F10679,         62,         72,       134,            0,         400, 10
